goid,definition,ontology,term,number_of_transctipts,transcripts_id
GO:0009229,"The chemical reactions and pathways resulting in the formation of thiamine diphosphate, a derivative of thiamine (vitamin B1) which acts as a coenzyme in a range of processes including the Krebs cycle.",BP,thiamine diphosphate biosynthetic process,1,TRINITY_DN36569_c5_g6_i4
GO:0009231,"The chemical reactions and pathways resulting in the formation of riboflavin (vitamin B2), the precursor for the coenzymes flavin mononucleotide (FMN) and flavin adenine dinucleotide (FAD).",BP,riboflavin biosynthetic process,1,TRINITY_DN39666_c4_g2_i2
GO:0009267,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of deprivation of nourishment.",BP,cellular response to starvation,1,TRINITY_DN32724_c2_g3_i1
GO:0009306,The controlled release of proteins from a cell.,BP,protein secretion,5,"TRINITY_DN39432_c5_g2_i12,TRINITY_DN39213_c3_g2_i3,TRINITY_DN28284_c3_g5_i1,TRINITY_DN39115_c1_g1_i3,TRINITY_DN32111_c0_g2_i23"
GO:0009311,"The chemical reactions and pathways involving oligosaccharides, molecules with between two and (about) 20 monosaccharide residues connected by glycosidic linkages.",BP,oligosaccharide metabolic process,1,TRINITY_DN34831_c4_g2_i1
GO:0009316,"A heterodimeric enzyme complex composed of subunits leuC and leuD. Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate.",CC,3-isopropylmalate dehydratase complex,1,TRINITY_DN29456_c9_g5_i1
GO:0009337,"A multisubunit iron flavoprotein, which in yeast is composed of 2 alpha and 2 beta subunits. Catalyzes the reduction of sulfite to sulfide.",CC,sulfite reductase complex (NADPH),1,TRINITY_DN31812_c4_g2_i1
GO:0009346,"Citrate lyase is a multienzyme complex with three constituents: the alpha subunit, citrate-ACP transferase; the beta subunit, citryl-ACP lyase; and the gamma subunit, an acyl-carrier protein which also carries the prosthetic group components. All three subunits are required for citrate lyase enzyme activity.",CC,citrate lyase complex,2,"TRINITY_DN30826_c0_g4_i1,TRINITY_DN34225_c1_g2_i1"
GO:0009374,"Interacting selectively and non-covalently with biotin (cis-tetrahydro-2-oxothieno(3,4-d)imidazoline-4-valeric acid), the (+) enantiomer of which is very widely distributed in cells and serves as a carrier in a number of enzymatic beta-carboxylation reactions.",MF,biotin binding,1,TRINITY_DN36006_c1_g1_i6
GO:0009405,"The set of specific processes that generate the ability of an organism to induce an abnormal, generally detrimental state in another organism.",BP,pathogenesis,1,TRINITY_DN26916_c5_g1_i2
GO:0009408,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a heat stimulus, a temperature stimulus above the optimal temperature for that organism.",BP,response to heat,1,TRINITY_DN32762_c1_g1_i2
GO:0009409,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cold stimulus, a temperature stimulus below the optimal temperature for that organism.",BP,response to cold,2,"TRINITY_DN35490_c0_g1_i25,TRINITY_DN35490_c0_g1_i3"
GO:0009416,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a light stimulus, electromagnetic radiation of wavelengths classified as infrared, visible or ultraviolet light.",BP,response to light stimulus,1,TRINITY_DN38988_c1_g1_i11
GO:0009507,"A chlorophyll-containing plastid with thylakoids organized into grana and frets, or stroma thylakoids, and embedded in a stroma.",CC,chloroplast,1,TRINITY_DN34541_c5_g1_i1
GO:0009555,"The process whose specific outcome is the progression of the pollen grain over time, from its formation to the mature structure. The process begins with the meiosis of the microsporocyte to form four haploid microspores. The nucleus of each microspore then divides by mitosis to form a two-celled organism, the pollen grain, that contains a tube cell as well as a smaller generative cell. The pollen grain is surrounded by an elaborate cell wall. In some species, the generative cell immediately divides again to give a pair of sperm cells. In most flowering plants, however this division takes place later, in the tube that develops when a pollen grain germinates.",BP,pollen development,1,TRINITY_DN34071_c3_g2_i4
GO:0009566,The union of gametes of opposite sexes during the process of sexual reproduction to form a zygote. It involves the fusion of the gametic nuclei (karyogamy) and cytoplasm (plasmogamy).,BP,fertilization,2,"TRINITY_DN39432_c6_g1_i1,TRINITY_DN23294_c0_g1_i1"
GO:0009611,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to the organism.",BP,response to wounding,2,"TRINITY_DN32724_c2_g3_i1,TRINITY_DN34352_c0_g1_i2"
GO:0009612,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a mechanical stimulus.",BP,response to mechanical stimulus,1,TRINITY_DN26161_c0_g1_i1
GO:0009615,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a virus.",BP,response to virus,2,"TRINITY_DN23294_c0_g1_i1,TRINITY_DN39432_c6_g1_i1"
GO:0009636,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a toxic stimulus.",BP,response to toxic substance,3,"TRINITY_DN27007_c0_g1_i1,TRINITY_DN26994_c5_g4_i2,TRINITY_DN26994_c5_g4_i5"
GO:0009705,The lipid bilayer surrounding a vacuole that retains the same shape regardless of cell cycle phase. The membrane separates its contents from the cytoplasm of the cell. An example of this component is found in Arabidopsis thaliana.,CC,plant-type vacuole membrane,1,TRINITY_DN31804_c3_g7_i2
GO:0009725,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hormone stimulus.",BP,response to hormone,2,"TRINITY_DN38988_c1_g1_i11,TRINITY_DN39678_c9_g1_i5"
GO:0009743,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a carbohydrate stimulus.",BP,response to carbohydrate,3,"TRINITY_DN36006_c1_g1_i6,TRINITY_DN39432_c6_g1_i1,TRINITY_DN23294_c0_g1_i1"
GO:0009791,"The process whose specific outcome is the progression of the organism over time, from the completion of embryonic development to the mature structure. See embryonic development.",BP,post-embryonic development,2,"TRINITY_DN23294_c0_g1_i1,TRINITY_DN39432_c6_g1_i1"
GO:0009826,"The process in which a cell irreversibly increases in size in one [spatial] dimension or along one axis, resulting in the morphogenesis of the cell.",BP,unidimensional cell growth,1,TRINITY_DN34071_c3_g2_i4
GO:0009860,Growth of pollen via tip extension of the intine wall.,BP,pollen tube growth,1,TRINITY_DN34071_c3_g2_i4
GO:0009881,"The function of absorbing and responding to incidental electromagnetic radiation, particularly visible light. The response may involve a change in conformation.",MF,photoreceptor activity,1,TRINITY_DN31324_c3_g1_i4
GO:0009887,"Morphogenesis of an animal organ. An organ is defined as a tissue or set of tissues that work together to perform a specific function or functions. Morphogenesis is the process in which anatomical structures are generated and organized. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions.",BP,animal organ morphogenesis,1,TRINITY_DN33554_c2_g6_i2
GO:0009897,The leaflet of the plasma membrane that faces away from the cytoplasm and any proteins embedded or anchored in it or attached to its surface.,CC,external side of plasma membrane,9,"TRINITY_DN36687_c2_g3_i5,TRINITY_DN39115_c1_g2_i1,TRINITY_DN39401_c2_g1_i21,TRINITY_DN39401_c2_g1_i6,TRINITY_DN39401_c2_g1_i8,TRINITY_DN36107_c0_g1_i3,TRINITY_DN36107_c0_g1_i4,TRINITY_DN39401_c2_g1_i14,TRINITY_DN35266_c2_g2_i13"
GO:0009953,The regionalization process in which the areas along the dorsal/ventral axis are established that will lead to differences in cell differentiation. The dorsal/ventral axis is defined by a line that runs orthogonal to both the anterior/posterior and left/right axes. The dorsal end is defined by the upper or back side of an organism. The ventral end is defined by the lower or front side of an organism.,BP,dorsal/ventral pattern formation,1,TRINITY_DN36038_c2_g1_i2
GO:0009968,"Any process that stops, prevents, or reduces the frequency, rate or extent of signal transduction.",BP,negative regulation of signal transduction,1,TRINITY_DN37528_c1_g1_i9
GO:0009986,The external part of the cell wall and/or plasma membrane.,CC,cell surface,8,"TRINITY_DN38802_c0_g1_i1,TRINITY_DN33390_c1_g2_i5,TRINITY_DN39115_c1_g1_i3,TRINITY_DN36107_c0_g1_i4,TRINITY_DN36107_c0_g1_i3,TRINITY_DN30231_c5_g1_i3,TRINITY_DN32762_c1_g1_i2,TRINITY_DN36844_c0_g1_i2"
GO:0010008,The lipid bilayer surrounding an endosome.,CC,endosome membrane,5,"TRINITY_DN38362_c1_g2_i1,TRINITY_DN38362_c1_g2_i2,TRINITY_DN39432_c6_g1_i1,TRINITY_DN23294_c0_g1_i1,TRINITY_DN38362_c1_g2_i3"
GO:0010039,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an iron ion stimulus.",BP,response to iron ion,1,TRINITY_DN35266_c2_g2_i14
GO:0010045,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nickel cation stimulus.",BP,response to nickel cation,1,TRINITY_DN32762_c1_g1_i2
GO:0010183,The process in which the growth of pollen tube is directed towards the female gametophyte.,BP,pollen tube guidance,1,TRINITY_DN34071_c3_g2_i4
GO:0010224,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a UV-B radiation stimulus. UV-B radiation (UV-B light) spans the wavelengths 280 to 315 nm.",BP,response to UV-B,1,TRINITY_DN29986_c0_g2_i1
GO:0010256,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the endomembrane system.",BP,endomembrane system organization,1,TRINITY_DN27525_c0_g1_i1
GO:0010269,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from selenium ion.",BP,response to selenium ion,2,"TRINITY_DN23294_c0_g1_i1,TRINITY_DN39432_c6_g1_i1"
GO:0010390,The modification of histones by addition of a single ubiquitin group.,BP,histone monoubiquitination,1,TRINITY_DN33704_c2_g2_i5
GO:0010447,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a pH stimulus with pH < 7. pH is a measure of the acidity or basicity of an aqueous solution.",BP,response to acidic pH,1,TRINITY_DN33214_c1_g3_i2
GO:0010467,The process in which a gene's sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form.,BP,gene expression,2,"TRINITY_DN28284_c3_g5_i1,TRINITY_DN32111_c0_g2_i23"
GO:0010469,"Any process that modulates the frequency, rate or extent of receptor activity. Receptor activity is when a molecule combines with an extracellular or intracellular messenger to initiate a change in cell activity.",BP,regulation of receptor activity,1,TRINITY_DN39678_c9_g1_i5
GO:0010470,Any process that modulates the rate or extent of gastrulation. Gastrulation is the complex and coordinated series of cellular movements that occurs at the end of cleavage during embryonic development of most animals.,BP,regulation of gastrulation,1,TRINITY_DN33778_c2_g3_i1
GO:0010494,A dense aggregation in the cytosol composed of proteins and RNAs that appear when the cell is under stress.,CC,cytoplasmic stress granule,1,TRINITY_DN34352_c0_g1_i2
GO:0010507,"Any process that stops, prevents, or reduces the frequency, rate or extent of autophagy. Autophagy is the process in which cells digest parts of their own cytoplasm.",BP,negative regulation of autophagy,1,TRINITY_DN38548_c1_g1_i9
GO:0010508,"Any process that activates, maintains or increases the rate of autophagy. Autophagy is the process in which cells digest parts of their own cytoplasm.",BP,positive regulation of autophagy,1,TRINITY_DN28803_c1_g1_i1
GO:0010628,"Any process that increases the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form.",BP,positive regulation of gene expression,5,"TRINITY_DN36006_c1_g1_i6,TRINITY_DN39432_c6_g1_i1,TRINITY_DN23294_c0_g1_i1,TRINITY_DN35437_c2_g1_i9,TRINITY_DN32762_c1_g1_i2"
GO:0010629,"Any process that decreases the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form.",BP,negative regulation of gene expression,1,TRINITY_DN39527_c6_g1_i7
GO:0010666,"Any process that increases the rate or extent of cardiac cell apoptotic process, a form of programmed cell death induced by external or internal signals that trigger the activity of proteolytic caspases whose actions dismantle a cardiac muscle cell and result in its death.",BP,positive regulation of cardiac muscle cell apoptotic process,4,"TRINITY_DN39401_c2_g1_i6,TRINITY_DN39401_c2_g1_i8,TRINITY_DN39401_c2_g1_i21,TRINITY_DN39401_c2_g1_i14"
GO:0010667,"Any process that decreases the rate or extent of cardiac cell apoptotic process, a form of programmed cell death induced by external or internal signals that trigger the activity of proteolytic caspases whose actions dismantle a cardiac muscle cell and result in its death.",BP,negative regulation of cardiac muscle cell apoptotic process,1,TRINITY_DN32762_c1_g1_i2
GO:0010717,"Any process that modulates the rate, frequency, or extent of epithelial to mesenchymal transition. Epithelial to mesenchymal transition where an epithelial cell loses apical/basolateral polarity, severs intercellular adhesive junctions, degrades basement membrane components and becomes a migratory mesenchymal cell.",BP,regulation of epithelial to mesenchymal transition,1,TRINITY_DN33778_c2_g3_i1
GO:0010744,"Any process that increases the rate, frequency or extent of macrophage derived foam cell differentiation. Macrophage derived foam cell differentiation is the process in which a macrophage acquires the specialized features of a foam cell. A foam cell is a type of cell containing lipids in small vacuoles and typically seen in atherosclerotic lesions, as well as other conditions.",BP,positive regulation of macrophage derived foam cell differentiation,3,"TRINITY_DN33390_c1_g2_i5,TRINITY_DN23294_c0_g1_i1,TRINITY_DN39432_c6_g1_i1"
GO:0010800,"Any process that increases the frequency, rate or extent of peptidyl-threonine phosphorylation. Peptidyl-threonine phosphorylation is the phosphorylation of peptidyl-threonine to form peptidyl-O-phospho-L-threonine.",BP,positive regulation of peptidyl-threonine phosphorylation,1,TRINITY_DN31738_c2_g2_i7
GO:0010803,Any process that modulates the rate or extent of the tumor necrosis factor-mediated signaling pathway. The tumor necrosis factor-mediated signaling pathway is the series of molecular signals generated as a consequence of tumor necrosis factor binding to a cell surface receptor.,BP,regulation of tumor necrosis factor-mediated signaling pathway,2,"TRINITY_DN30035_c5_g1_i3,TRINITY_DN30035_c5_g1_i2"
GO:0010821,"Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of a mitochondrion.",BP,regulation of mitochondrion organization,2,"TRINITY_DN28284_c3_g5_i1,TRINITY_DN32111_c0_g2_i23"
GO:0010828,"Any process that increases the frequency, rate or extent of glucose transport. Glucose transport is the directed movement of the hexose monosaccharide glucose into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",BP,positive regulation of glucose transport,1,TRINITY_DN39659_c4_g1_i2
GO:0010837,"Any process that modulates the rate, frequency or extent of keratinocyte proliferation. Keratinocyte proliferation is the multiplication or reproduction of keratinocytes, resulting in the expansion of a cell population.",BP,regulation of keratinocyte proliferation,1,TRINITY_DN34352_c0_g1_i2
GO:0010862,"Any process that increases the rate, frequency or extent of pathway-restricted SMAD protein phosphorylation. Pathway-restricted SMAD proteins and common-partner SMAD proteins are involved in the transforming growth factor beta receptor signaling pathways.",BP,positive regulation of pathway-restricted SMAD protein phosphorylation,1,TRINITY_DN32724_c2_g3_i1
GO:0010866,"Any process that modulates the rate, frequency, or extent of triglyceride biosynthesis. Triglyceride biosynthesis is the collection of chemical reactions and pathways resulting in the formation of triglyceride, any triester of glycerol.",BP,regulation of triglyceride biosynthetic process,1,TRINITY_DN39659_c4_g1_i2
GO:0010884,"Any process that increases the rate, frequency or extent of lipid storage. Lipid storage is the accumulation and maintenance in cells or tissues of lipids, compounds soluble in organic solvents but insoluble or sparingly soluble in aqueous solvents. Lipid reserves can be accumulated during early developmental stages for mobilization and utilization at later stages of development.",BP,positive regulation of lipid storage,3,"TRINITY_DN39432_c6_g1_i1,TRINITY_DN23294_c0_g1_i1,TRINITY_DN39659_c4_g1_i2"
GO:0010886,"Any process that increases the rate or extent of cholesterol storage. Cholesterol storage is the accumulation and maintenance in cells or tissues of cholesterol, cholest-5-en-3 beta-ol, the principal sterol of vertebrates and the precursor of many steroids, including bile acids and steroid hormones.",BP,positive regulation of cholesterol storage,3,"TRINITY_DN33390_c1_g2_i5,TRINITY_DN23294_c0_g1_i1,TRINITY_DN39432_c6_g1_i1"
GO:0010890,"Any process that increases the rate, frequency or extent of sequestering of triglyceride. Triglyceride sequestration is the process of binding or confining any triester of glycerol such that it is separated from other components of a biological system.",BP,positive regulation of sequestering of triglyceride,1,TRINITY_DN33390_c1_g2_i5
GO:0010941,"Any process that modulates the rate or frequency of cell death. Cell death is the specific activation or halting of processes within a cell so that its vital functions markedly cease, rather than simply deteriorating gradually over time, which culminates in cell death.",BP,regulation of cell death,1,TRINITY_DN39401_c2_g1_i14
GO:0010955,"Any process that decreases the rate, frequency or extent of protein maturation by peptide bond cleavage.",BP,negative regulation of protein processing,1,TRINITY_DN36038_c2_g1_i5
GO:0010994,"The process of creating free ubiquitin chains, compounds composed of a large number of ubiquitin monomers. These chains are not conjugated to a protein.",BP,free ubiquitin chain polymerization,1,TRINITY_DN31738_c2_g2_i7
GO:0012501,A process which begins when a cell receives an internal or external signal and activates a series of biochemical events (signaling pathway). The process ends with the death of the cell.,BP,programmed cell death,1,TRINITY_DN36038_c2_g1_i2
GO:0012505,"A collection of membranous structures involved in transport within the cell. The main components of the endomembrane system are endoplasmic reticulum, Golgi bodies, vesicles, cell membrane and nuclear envelope. Members of the endomembrane system pass materials through each other or though the use of vesicles.",CC,endomembrane system,1,TRINITY_DN39213_c3_g2_i3
GO:0012507,The lipid bilayer surrounding a vesicle transporting substances from the endoplasmic reticulum to the Golgi.,CC,ER to Golgi transport vesicle membrane,2,"TRINITY_DN38186_c1_g1_i3,TRINITY_DN30246_c0_g1_i4"
GO:0014067,"Any process that stops, prevents, or reduces the frequency, rate or extent of signal transduction mediated by the phosphatidylinositol 3-kinase cascade.",BP,negative regulation of phosphatidylinositol 3-kinase signaling,1,TRINITY_DN39527_c6_g1_i7
GO:0014069,"An electron dense network of proteins within and adjacent to the postsynaptic membrane of an asymetric, neuron-neuron synapse. Its major components include neurotransmitter receptors and the proteins that spatially and functionally organize them such as anchoring and scaffolding molecules, signaling enzymes and cytoskeletal components.",CC,postsynaptic density,2,"TRINITY_DN38382_c0_g1_i14,TRINITY_DN32762_c1_g1_i2"
GO:0014070,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic cyclic compound stimulus.",BP,response to organic cyclic compound,1,TRINITY_DN37007_c3_g2_i6
GO:0014823,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an activity stimulus.",BP,response to activity,1,TRINITY_DN32762_c1_g1_i2
GO:0015031,"The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",BP,protein transport,7,"TRINITY_DN27525_c0_g1_i1,TRINITY_DN34616_c3_g1_i7,TRINITY_DN37806_c5_g2_i3,TRINITY_DN37771_c1_g1_i13,TRINITY_DN38592_c1_g2_i1,TRINITY_DN30665_c2_g1_i6,TRINITY_DN37106_c4_g1_i3"
GO:0015037,Catalysis of the reaction: a peptide with reduced sulfide groups = a peptide with oxidized disulfide bonds.,MF,peptide disulfide oxidoreductase activity,2,"TRINITY_DN39115_c1_g2_i1,TRINITY_DN39115_c1_g1_i3"
GO:0015074,"The process in which a segment of DNA is incorporated into another, usually larger, DNA molecule such as a chromosome.",BP,DNA integration,6,"TRINITY_DN30084_c1_g4_i3,TRINITY_DN27249_c8_g2_i1,TRINITY_DN27595_c4_g3_i5,TRINITY_DN30523_c1_g1_i2,TRINITY_DN36926_c2_g4_i3,TRINITY_DN36926_c2_g4_i4"
GO:0015078,Enables the transfer of hydrogen ions from one side of a membrane to the other.,MF,hydrogen ion transmembrane transporter activity,1,TRINITY_DN30511_c2_g1_i1
GO:0015095,Enables the transfer of magnesium (Mg) ions from one side of a membrane to the other.,MF,magnesium ion transmembrane transporter activity,1,TRINITY_DN30735_c0_g1_i8
GO:0015175,Enables the transfer of neutral amino acids from one side of a membrane to the other. Neutral amino acids have a pH of 7.,MF,neutral amino acid transmembrane transporter activity,1,TRINITY_DN28868_c5_g1_i1
GO:0015179,Enables the transfer of an L-amino acid from one side of a membrane to the other. L-amino acids are the L-enantiomers of amino acids.,MF,L-amino acid transmembrane transporter activity,2,"TRINITY_DN28868_c5_g1_i1,TRINITY_DN31732_c9_g2_i2"
GO:0015218,"Enables the transfer of a pyrimidine nucleotide, any compound consisting of a pyrimidine nucleoside esterified with (ortho)phosphate, from one side of a membrane to the other.",MF,pyrimidine nucleotide transmembrane transporter activity,1,TRINITY_DN33655_c7_g2_i2
GO:0015238,"Enables the transfer of a drug from one side of a membrane to the other. A drug is any naturally occurring or synthetic substance, other than a nutrient, that, when administered or applied to an organism, affects the structure or functioning of the organism; in particular, any such substance used in the diagnosis, prevention, or treatment of disease.",MF,drug transmembrane transporter activity,2,"TRINITY_DN36569_c5_g1_i11,TRINITY_DN26241_c0_g1_i1"
GO:0015297,Enables the active transport of a solute across a membrane by a mechanism whereby two or more species are transported in opposite directions in a tightly coupled process not directly linked to a form of energy other than chemiosmotic energy. The reaction is: solute A(out) + solute B(in) = solute A(in) + solute B(out).,MF,antiporter activity,1,TRINITY_DN36569_c5_g1_i11
GO:0015385,Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: Na+(out) + H+(in) = Na+(in) + H+(out).,MF,sodium:proton antiporter activity,1,TRINITY_DN33214_c1_g3_i2
GO:0015629,The part of the cytoskeleton (the internal framework of a cell) composed of actin and associated proteins. Includes actin cytoskeleton-associated complexes.,CC,actin cytoskeleton,1,TRINITY_DN37394_c1_g3_i2
GO:0015630,The part of the cytoskeleton (the internal framework of a cell) composed of microtubules and associated proteins.,CC,microtubule cytoskeleton,1,TRINITY_DN35913_c3_g5_i4
GO:0015693,"The directed movement of magnesium (Mg) ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",BP,magnesium ion transport,1,TRINITY_DN30735_c0_g1_i8
GO:0015807,"The directed movement of L-enantiomer amino acids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",BP,L-amino acid transport,1,TRINITY_DN28868_c5_g1_i1
GO:0015908,"The directed movement of fatty acids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Fatty acids are aliphatic monocarboxylic acids liberated from naturally occurring fats and oils by hydrolysis.",BP,fatty acid transport,1,TRINITY_DN34920_c8_g2_i14
GO:0015926,"Catalysis of the hydrolysis of glucosyl compounds, substances containing a group derived from a cyclic form of glucose or a glucose derivative.",MF,glucosidase activity,1,TRINITY_DN34831_c4_g2_i1
GO:0015935,The smaller of the two subunits of a ribosome.,CC,small ribosomal subunit,1,TRINITY_DN39120_c1_g1_i6
GO:0015936,"The chemical reactions and pathways involving coenzyme A, 3'-phosphoadenosine-(5')diphospho(4')pantatheine, an acyl carrier in many acylation and acyl-transfer reactions in which the intermediate is a thiol ester.",BP,coenzyme A metabolic process,1,TRINITY_DN28513_c5_g1_i1
GO:0015940,"The chemical reactions and pathways resulting in the formation of pantothenate, the anion of pantothenic acid. It is a B complex vitamin that is a constituent of coenzyme A and is distributed ubiquitously in foods.",BP,pantothenate biosynthetic process,1,TRINITY_DN30425_c4_g1_i1
GO:0015986,The transport of protons across a membrane to generate an electrochemical gradient (proton-motive force) that powers ATP synthesis.,BP,ATP synthesis coupled proton transport,2,"TRINITY_DN30511_c2_g1_i1,TRINITY_DN36693_c7_g1_i4"
GO:0016020,A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.,CC,membrane,28,"TRINITY_DN23488_c0_g1_i1,TRINITY_DN36417_c0_g1_i7,TRINITY_DN32992_c1_g3_i4,TRINITY_DN26141_c0_g1_i2,TRINITY_DN34831_c4_g2_i1,TRINITY_DN38382_c0_g1_i14,TRINITY_DN38950_c1_g3_i1,TRINITY_DN37696_c0_g2_i13,TRINITY_DN29025_c2_g1_i6,TRINITY_DN26935_c0_g1_i2,TRINITY_DN27322_c1_g2_i3,TRINITY_DN37007_c3_g2_i6,TRINITY_DN39372_c7_g8_i1,TRINITY_DN38650_c0_g1_i5,TRINITY_DN39149_c1_g1_i3,TRINITY_DN29111_c0_g1_i6,TRINITY_DN37394_c1_g3_i2,TRINITY_DN34920_c8_g2_i14,TRINITY_DN30735_c0_g1_i8,TRINITY_DN36038_c2_g1_i5,TRINITY_DN38581_c1_g4_i2,TRINITY_DN27525_c0_g1_i1,TRINITY_DN29222_c1_g3_i1,TRINITY_DN34225_c1_g2_i2,TRINITY_DN32762_c1_g1_i2,TRINITY_DN39527_c6_g1_i7,TRINITY_DN36489_c3_g1_i1,TRINITY_DN37195_c0_g1_i2"
